Sarah Davis			DJ_Dave is an experimental electronic-pop artist, DJ, and producer, synonymous with the art of live coded music — music made and performed using computer code. Appreciated by coders and electronic music appreciators alike, DJ_Dave first appeared on the scene in 2021 when she began combining live coding and DJ mixing at underground New York City raves. She has since been performing her state-of-the-art live process on festival stages, dance floors, and classrooms around the world, and releasing uniquely visceral tracks also created through a live-coded process. Notably, DJ_Dave has performed at The Whitney Museum, Grimes’ MET Gala Afterparty, Coachella, and GitHub Universe, she has released remixes by artists including Tove Lo, Channel Tres, and Uffie, she has toured with JPEGMafia and Hannah Diamond, and she just finished a year-long DJ residency on Frank Ocean’s Homer Radio. As a proponent for coding in the club, DJ_Dave continues to reexamines electronic musical temporality and find ways to connect live coding to the masses.
Jack Armitage		Intelligent Instruments Lab	Jack Armitage is a musician, designer and technologist based in Reykjavík, and the founder of Afverhju Ekki - The Absolutely Everything Studio. Jack is a postdoc researcher at the Intelligent Instruments Lab, University of Iceland, and has a PhD in Media & Arts Technologies from Queen Mary University of London. Jack's work spans experimental concerts, electronic club performances and DJ sets, multimedia installations, interface design, sound design, music production and composition, and more. Jack's project Lil Data released on the PC Music label, and has co-production credits including Charli XCX and Jónsi.
Gus Lobban			Kero Kero Bonito (KKB) are a British indie pop band formed in London in 2011. The band consists of vocalist Sarah Midori Perry and producers and multi-instrumentalists Gus Lobban and Jamie Bulled. Gus Lobban, also known as Kane West and Augustus, provides drums, keyboards, sampler, background vocals, and production for the band. Gus studied music with a special interest in computer music at Goldsmiths, University of London.
Iannis Zannos		Ionian University	Iannis Zannos has a background in music composition, ethnomusicology and interactive performance. He has worked as Director of the Music Technology and Documentation section at the Federal for Music Research (SIM-PK, Berlin), and Research Director at the Center for Research for Electronic Art Technology at the University of California, Santa Barbara. He teaches audio and interactive media arts at the Department of Audiovisual Arts of the Ionian University, Corfu. Publications include: "Ichos und Makam" and "Music and Signs". Participation in artistic collaborations include programming of interactive sound for Eric Sleichim / Bl!ndman Quartet, and Ulrike and David Gabriel (2000); Cosmos-X - Multimedia installation with multiple audio and video projections based on the work of Iannis Xenakis, with Efi Xirou (2005-2006); and several installations with Jean-Pierre Hébert (2004-2011) He performs regularly using live coding techniques with SuperCollider. Further collaborations and project include collaborations, Iannis Chrysides, 2014, and presentations at Athens Biennale (2016). Since 2018 he focusses on telematic dance performance with a series of works between Greece, Japan and other countries, and collaborations with other composers and dancers.
Konstantinos Vasilakos		Xi'an Jiaotong - Liverpool University	Konstantinos Vasilakos is an interdisciplinary artist working in the millieu of interactive media and Sonic Arts. His research interests run the gamut from sonification to new instruments for musical expression and live-coding with networked music systems. Some of his projects are Dark Matter, a live coding project with particle collision data from the Large Hadron Collider at CERN, in Switzerland. Among other things, he is the author of IPSOS, a web-based novel interface for real-time sonification of high-energy physics data from the LHC. It was commissioned by art@CMS, CERN and the University of Birmingham. It is used as an educational workshop for students and physics teachers as well as for the interested layman. He is also the author of numerous tailor-made software solutions for multidisciplinary work involving real-time sound reinforcement for body movement and dance, machine learning and neural networks for sound installations.
Georgios Diapoulis		Chalmers University of Technology	Georgios Diapoulis has a background in material science, acoustics, and music psychology. In October 2023, he completed his PhD in Interaction Design, focusing on musical live coding and gestural interaction. He is currently a teacher in the Unit of Interaction Design, Chalmers University of Technology, University of Gothenburg, Gothenburg, Sweden. He teaches courses related to prototyping, tangible interaction, sound design, and creative coding. He often conducts live coding performances and performs in electronic music improvisational contexts and is a member of TOPLAP Athens node.
Alejandro Sánchez Medina			Alejandro Sánchez Medina was born in Gran Canaria, Spain. His formal background is in computer science and software engineering. He works as a freelance software developer an travels around to meet and perform with live-coders. Over the past year he’s been working as a Nix documentarian and software packager. Topics that he is most interested in working with are machine learning, artificial intelligence, privacy preserving machine learning, future-proof technology, reproducible systems and FLOSS software and hardware.
Zona Zanjeros			Zona Zanjeros, a vital force in Visceral Realism, is a multimedia artist and essential member of "Computer," a sound-based performance art group in New York. In rebellion against commercialized art, Zona employs open-source software like SuperCollider and Puredata for their sonic explorations. As a Visceral Realist, Zona transcends boundaries, using samples and original compositions that undergo metamorphosis through SuperCollider. Zona's performances challenge conventions, offering a fusion of traditional and digital, inviting audiences to confront the ever-changing technological landscape. In a dialectical conversation with technology, Zona expresses both fear and attraction, creating intense, introspective experiences. Zona Zanjeros' work serves as a poignant reminder to navigate technology's impact with care, advocating for a connection to the natural world. Zona has collaborated with musicians like Elliott Sharp and Weasel Walter for performances and recordings.
Andy Borsz			Andy Borsz is an American noise musician. Since the turn of the century he has performed hundreds of gigs under his own name and in the groups Slasher Risk, Desiccant, and Bad Trips. Early performances in Slasher Risk were cited as both the greatest "fuck-all insane feedback seance in NYC today" (Impose Magazine) and "like watching them blow up an old Vegas casino" (WFMU). Being nomadic around the East Coast for many years but largely and repeatedly calling New York City home, it was inevitable that a chance meeting with Zona Zanjeros would occur. The mental fabric of the Visceral Realism movement soon followed suit and the two quickly published a manifesto and began performances under the moniker “Visceral Realists”— a new kind of band that anyone is welcome to perform as any time, any place, as long as the specifications are followed.
Messica Arson	Jessica Garson		Messica Arson is the newest contributor to the Visceral Realist movement. She ventured into the live coding scene in 2017 while seeking gigs for her new punk solo project utilizing Sonic Pi. Since then, her sound has significantly transformed, emerging as a unique fusion of live sampling, modular synthesis, and live coding. A defining feature of her music is the incorporation of screaming, adding a layer of rawness. Messica has showcased her talent across the US, Canada, and Europe, opening for notable artists such as Oliver Ackerman of A Place to Bury Strangers and Eric Schlappi from Schlappi Engineering. She has been an active member of LivecodeNYC since 2017; she has played a vital role in organizing and planning shows for the collective.
Domenico Cipriani			Domenico Cipriani a.k.a. Lucretio has been releasing raw minimalist dance music for more than a decade.With his many monikers and groups (including collaborations with Blawan and Objekt) he has released more than 100 vinyls and performed all around Europe, including Berghain, Tresor, Fabric, Zukunft, Rex, just to name a few. His label Restoration (co-founded with Marieu) has played an active role in the vinyl resurgence of the late 2000. After his graduation the S.A.E. Institute of Barcelona, he has further developed his research on social semiotic with an M.A. in Linguistics at the University of Padova, focusing on an evolutionary approach to explaining language change. He has discovered Smalltalk with Symbolic Sound Kyma in 2016. In 2019, he presented at the »Sonic Experiments« festival at the ZKM an interactive performance based on network distributed Open Sound Control. He has been live coding with Kyma and Pharo since April 2020.
Alo Allik			kurivari is a project by UK-based Estonian sound artist who has performed his live coded electronic music and generative computer graphics throughout the world. His aesthetically and geographically restless lifestyle has enabled him to traverse a diverse range of musical worlds including DJ-ing electronic dance music, live electronic jam sessions, electroacoustic composition, free improvisation and audiovisual performances. He has forged collaborations with a number of curious and innovative musicians, writers and visual artists along the way focussed on exploring links between technology, creativity and tradition.
Bito	Alejandro Sánchez Medina		Bito is an itinerant live coder exploring the vast possibilities of live coding systems. He is always on the look for suprising technology combinations, and likes expressing himself through heavy and distorted riff inspired sounds, industrial, noise and breakcore; with a pinch melodic soundscapes here and there.
Chunk No_Reace	Konstantinos Vasilakos	Xi'an Jiatong - Liverpool University	Chunk No_Reace was educated in the realm of the oligarchy of pitch and rhythm, but soon enough found himself abiding by the rules of complex orders ingrained in electronic circuits, and silicon boards manipulated with hardware paraphernalia. He creates post electro-acoustic music using hitherto available computer music systems in the milieu of digital arts; in his free time he enjoys hacking code in front of the audience, aka live coding.
R Tyler			R Tyler is a San Francisco-based algorave performer, electronic music producer, and visual artist. In 2023 he was invited to perform algorithmic dance music at SXSW, Stanford CCRMA, Spectra Studio Los Angeles, Indexical Santa Cruz, and bi-coastal audiovisual events with Livecode.NYC, AV Club SF, Club Code, and Gray Area SF.  His microtonal techno EP ‘Xuixo’ was released on the UK xenharmonic record label Split Notes with the artist alias ‘Relyt R’. As R Tyler, he released Live-Code Volumes 1 and 2, featuring original dance music from his live TidalCycles sets. His recurring musical interests include danceable live-coding, machine learning for sound design, odd time signatures, microtonal harmonies, and jazz keyboard solos translated into code.  For his professional employment, he develops algorithms to discover cancer therapies. He enjoys finding common ground and new applications for state-of-the-art techniques from the separate domains of science, music, and art.
+777000	Eli Gromova-Gulbe		+777000 (they/them) is a Latvian computer musician and melodramatic coder based in London. Using TidalCycles, they’ve performed in arts galleries, music venues and nightclubs across the UK, at locations such as The Barbican, Cafe OTO, and Corsica Studios. Their music been described by SBVRSV.press as "ambience for the anxious", with recent work adapting these sonic aesthetics for club-focused performances. They have also performed as part of Hard On Yarn Sourdonk Communion - a humorous live coding dance music project alongside artist hmurd (Harry Murdoch). Their involvement in the London and online music landscape extends beyond the live coding and Algorave scene, allowing to place live coding within adjacent cultural narratives and communities. This includes running Edited Arts - a label and events platform focusing on experimental electronic music.
nunez	Patri Nunez		nunez (they/them) is a Spanish multidisciplinary artist and designer based in London,working mainly with code, sound, and performance. Their practice relies heavily onexploration, collaboration, collective imagination and playfulness. They are the co-founderof ROCA ~ baby label and platform for music and arts running outdoor DIY events andreleasing music (made in Tidal Cycles) - most recently ”sweethearts” and “rocmas”, label’scompilation albums. Since discovering live coding it has become a fundamental part of theirpractice, using hydra not only for performance but also as part of their design practice.They have recently performed live coding music at ICKLECTIK (noisemas 2023) and livecoding visuals in collaboration with sound artists like Boy Lucid and ongoing collaborator, +777000.
